Country,mean_gdp_growth_last_years,gdp_volatility_std,mean_inflation,inflation_trend_direction,crisis_year_count
United Arab Emirates,4.7286661126363025,56329777678.313866,1.40537748378029,Upward,4.0
Afghanistan,0.455509636748053,2004213066.0193155,4.565203207777986,Downward,4.0
Albania,9.34495071886806,3440644396.805383,2.602229711027589,Upward,3.0
Armenia,15.192071720029668,4060541616.6102514,3.816734663182474,Downward,3.0
Angola,6.598994684795912,28424454219.02018,17.422729730370836,Downward,5.0
Austria,2.6393602896245545,36998492478.91922,2.7928598727654865,Upward,5.0
Australia,4.185668953221177,168097475754.96783,2.648634512676556,Upward,5.0
Azerbaijan,10.969998994607428,14156803976.858479,6.055319578698222,Upward,4.0
Bosnia and Herzegovina,6.313756022298254,3256102175.441966,1.9969204243422156,Upward,4.0
Barbados,5.054040713578267,431892591.111393,4.160806674613927,Upward,2.0
Bangladesh,6.535839757872337,123466649114.20293,6.973147960132377,Upward,1.0
Belgium,3.679215784916925,51279041872.32561,2.499495969716642,Upward,5.0
Burkina Faso,5.224196354029409,3183187447.4913583,2.0022778330392046,Upward,2.0
Bulgaria,9.259925178859834,16029600284.981298,3.2785889278353606,Upward,2.0
Bahrain,3.559608184063663,5757071921.993785,1.4399121530477912,Downward,3.0
Burundi,0.7233404134116398,328176778.6996113,9.407945600548706,Upward,4.0
Benin,6.8248950851248225,2965233553.6605325,1.5354080791992506,Upward,2.0
Brunei Darussalam,2.9733743349208845,2583877197.0232,0.5077625097927446,Upward,7.0
Bolivia,2.572685816337479,7502768173.05006,3.501776747807827,Upward,1.0
Brazil,3.579324190334225,343171219702.51434,5.972311970368106,Downward,7.0
"Bahamas, The",3.708784065507971,1338641323.7352037,2.010322519616048,Upward,3.0
Bhutan,2.551987746748119,375728219.8516947,6.203178868695127,Downward,4.0
Botswana,3.36147657462422,2272133067.191669,5.306655849073061,Downward,5.0
Belarus,3.8783460807995396,8881621241.188835,16.693433248746544,Downward,4.0
Belize,6.701680827355929,364610609.3951689,1.497293918585488,Upward,1.0
Canada,4.81135739541679,198379913003.97794,2.3008562834180517,Upward,5.0
